Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success,Success Probability
2,2,8,5,146,8,208,1,0.3854731971945051
1,2,8,5,146,11,208,1,0.3842086568653542
