Section,Title,Session,Days,Start time,End time,Status,Unit
014-IND (1737),CAPSTONE496,7W2,TBA,,,10,4
015-IND (1738),CAPSTONE496,7W2,TBA,,,10,4
016-IND (1739),CAPSTONE496,7W2,TBA,,,10,4
017-IND (1740),CAPSTONE496,7W2,TBA,,,10,4
018-IND (1741),CAPSTONE496,7W2,TBA,,,10,4
019-IND (1742),CAPSTONE496,7W2,TBA,,,10,4
020-IND (1743),CAPSTONE496,7W2,TBA,,,10,4
021-IND (1744),CAPSTONE496,7W2,TBA,,,10,4
022-IND (1745),CAPSTONE496,7W2,TBA,,,10,4
023-IND (1746),CAPSTONE496,7W2,TBA,,,10,4
024-IND (1747),CAPSTONE496,7W2,TBA,,,10,4
025-IND (1748),CAPSTONE496,7W2,TBA,,,10,4
026-IND (1749),CAPSTONE496,7W2,TBA,,,10,4
027-IND (1750),CAPSTONE496,7W2,TBA,,,10,4
028-IND (1751),CAPSTONE496,7W2,TBA,,,10,4
029-IND (1752),CAPSTONE496,7W2,TBA,,,10,4
030-IND (1753),CAPSTONE496,7W2,TBA,,,10,4
031-IND (1754),CAPSTONE496,7W2,TBA,,,10,4
032-IND (1755),CAPSTONE496,7W2,TBA,,,10,4
033-IND (1756),CAPSTONE496,7W2,TBA,,,10,4
034-IND (1757),CAPSTONE496,7W2,TBA,,,10,4
035-IND (1758),CAPSTONE496,7W2,TBA,,,10,4
036-IND (1759),CAPSTONE496,7W2,TBA,,,10,4
037-IND (1760),CAPSTONE496,7W2,TBA,,,10,4
038-IND (1761),CAPSTONE496,7W2,TBA,,,10,4
039-IND (1762),CAPSTONE496,7W2,TBA,,,10,4
040-IND (1763),CAPSTONE496,7W2,TBA,,,10,4
041-IND (1764),CAPSTONE496,7W2,TBA,,,10,4
042-IND (1765),CAPSTONE496,7W2,TBA,,,10,4
043-IND (1766),CAPSTONE496,7W2,TBA,,,10,4
044-IND (1767),CAPSTONE496,7W2,TBA,,,10,4
