Section,Title,Session,Days,Start time,End time,Status,Unit
001-LEC (1324),CHEM301,7W2,MoTuWeTh,10.00,11.15,18,4
001L-LAB (1325),CHEM301,7W2,Tu,11.30,14.30,18,0
001-SEM (1485),CHINESE101B,7W2,MoTuWeTh,08.30,09.30,14,2
002-SEM (1486),CHINESE101B,7W2,MoTuWeTh,11.45,12.45,14,2
003-SEM (1487),CHINESE101B,7W2,MoTuWeTh,10.00,11.00,14,2
004-SEM (1488),CHINESE101B,7W2,MoTuWeTh,13.15,14.15,14,2
005-SEM (1489),CHINESE101B,7W2,MoTuWeTh,10.00,11.00,14,2
006-SEM (1490),CHINESE101B,7W2,MoTuWeTh,11.45,12.45,14,2
007-SEM (1491),CHINESE101B,7W2,MoTuWeTh,13.15,14.15,14,2
008-SEM (1492),CHINESE101B,7W2,MoTuWeTh,14.45,15.45,14,2
001-SEM (1501),CHINESE102B,7W2,MoTuWeTh,13.15,14.15,14,2
001-SEM (1505),CHINESE201B,7W2,MoTuWeTh,12.00,13.00,14,2
002-SEM (1506),CHINESE201B,7W2,MoTuWeTh,13.15,14.15,14,2
003-SEM (1507),CHINESE201B,7W2,MoTuWeTh,13.30,14.30,14,2
004-SEM (1508),CHINESE201B,7W2,MoTuWeTh,14.45,15.45,14,2
005-SEM (1509),CHINESE201B,7W2,MoTuWeTh,10.00,11.00,14,2
006-SEM (1510),CHINESE201B,7W2,MoTuWeTh,11.45,12.45,14,2
007-SEM (1511),CHINESE201B,7W2,MoTuWeTh,09.15,10.15,14,2
008-SEM (1512),CHINESE201B,7W2,MoTuWeTh,10.30,11.30,14,2
001-SEM (1521),CHINESE202B,7W2,MoTuWeTh,18.00,19.00,14,2
001-SEM (1934),CHINESE231A,7W2,We,16.15,17.45,14,2
001-SEM (1525),CHINESE301B,7W2,TuWeTh,13.15,14.30,14,2
002-SEM (1526),CHINESE301B,7W2,TuWeTh,14.45,16.00,14,2
003-SEM (1527),CHINESE301B,7W2,TuWeTh,16.15,17.30,14,2
004-SEM (1936),CHINESE301B,7W2,TuWeTh,10.00,11.15,14,2
001-SEM (1524),CHINESE302B,7W2,TuWeTh,10.00,11.15,14,2
001-SEM (1504),CHINESE401B,7W2,TuTh,14.45,16.00,14,2
001-SEM (1531),CHINESE402B,7W2,TuTh,10.00,11.15,14,2
001-SEM (1535),CHINESE412,7W2,TuTh,14.45,16.00,14,2
001-SEM (1480),CHINESE414,7W2,MoWe,16.15,17.30,5,2
002-SEM (1827),CHINESE419,7W2,TuTh,14.45,16.00,14,2
001-SEM (1345),COMPDSGN490,7W2,TuTh,08.30,11.00,18,4
003-SEM (1299),COMPSCI101,7W2,MoTuWeTh,13.15,14.30,60,4
003L-LAB (1300),COMPSCI101,7W2,Th,14.45,16.00,30,0
004L-LAB (1301),COMPSCI101,7W2,Th,16.15,17.30,30,0
003-SEM (1377),COMPSCI201,7W2,MoWe,12.00,14.30,40,4
003L-LAB (1378),COMPSCI201,7W2,Th,14.45,16.00,20,0
003R-REC (1379),COMPSCI201,7W2,Tu,16.15,17.30,40,0
004L-LAB (1380),COMPSCI201,7W2,Th,16.15,17.30,20,0
001-SEM (1358),COMPSCI205,7W2,MoTuWeTh,11.45,13.00,40,4
001R-REC (1402),COMPSCI205,7W2,Th,14.45,16.00,40,0
001-SEM (1326),COMPSCI207,7W2,MoTuWeTh,10.00,11.15,35,4
001-SEM (1359),COMPSCI301,7W2,MoWe,12.00,14.30,40,4
001R-REC (1360),COMPSCI301,7W2,Tu,13.15,14.30,40,0
001-SEM (1367),COMPSCI308,7W2,MoTuWeTh,13.15,14.30,40,4
001-LEC (1398),COMPSCI310,7W2,MoTuWeTh,16.15,17.30,32,4
001-SEM (1110),CULANTH106,7W2,MoWe,14.45,17.15,18,4
001-SEM (1083),CULANTH201,7W2,TuTh,12.00,14.30,18,4
001-SEM (1113),CULANTH211,7W2,TuTh,14.45,17.15,18,4
001-SEM (1054),CULMOVE201,7W2,MoWe,14.45,17.15,18,4
001-SEM (1097),CULMOVE205,7W2,TuTh,12.00,14.30,18,4
001-SEM (1088),CULMOVE302,7W2,TuTh,12.00,14.30,18,4
001-SEM (1413),EAP101B,7W2,MoWe,10.00,11.15,14,2
